nr_partition_year|nr_partition_month|nr_partition_day|dt_ref|seller_id|seller_receita_ciclo|seller_qt_pedidos_ciclo|seller_ticket_medio_ciclo|seller_qt_item_ciclo|seller_qt_item_dist_ciclo|seller_recencia_ciclo|seller_tempo_medio_entrega|seller_qt_ativacao_ciclo|seller_qt_dias_ativacao_ciclo|seller_qt_venda_AC|seller_qt_venda_AL|seller_qt_venda_AM|seller_qt_venda_AP|seller_qt_venda_BA|seller_qt_venda_CE|seller_qt_venda_DF|seller_qt_venda_ES|seller_qt_venda_GO|seller_qt_venda_MA|seller_qt_venda_MG|seller_qt_venda_MS|seller_qt_venda_MT|seller_qt_venda_PA|seller_qt_venda_PB|seller_qt_venda_PE|seller_qt_venda_PI|seller_qt_venda_PR|seller_qt_venda_RJ|seller_qt_venda_RN|seller_qt_venda_RO|seller_qt_venda_RR|seller_qt_venda_RS|seller_qt_venda_SC|seller_qt_venda_SE|seller_qt_venda_SP|seller_qt_venda_TO|seller_vl_agro_industria_e_comercio_ciclo|seller_vl_alimentos_bebidas_ciclo|seller_vl_artes_ciclo|seller_vl_artigos_de_festas_ciclo|seller_vl_audio_ciclo|seller_vl_automotivo_ciclo|seller_vl_bebes_ciclo|seller_vl_beleza_saude_ciclo|seller_vl_brinquedos_ciclo|seller_vl_cama_mesa_banho_ciclo|seller_vl_casa_ciclo|seller_vl_cds_dvds_musicais_ciclo|seller_vl_cine_foto_ciclo|seller_vl_climatizacao_ciclo|seller_vl_construcao_ciclo|seller_vl_cool_stuff_ciclo|seller_vl_eletrodomesticos_ciclo|seller_vl_eletronicos_ciclo|seller_vl_eletroportateis_ciclo|seller_vl_esporte_lazer_ciclo|seller_vl_fashion_ciclo|seller_vl_ferramentas_jardim_ciclo|seller_vl_flores_ciclo|seller_vl_industria_comercio_e_negocios_ciclo|seller_vl_instrumentos_musicais_ciclo|seller_vl_la_cuisine_ciclo|seller_vl_livros_ciclo|seller_vl_malas_acessorios_ciclo|seller_vl_market_place_ciclo|seller_vl_moveis_ciclo|seller_vl_musica_ciclo|seller_vl_papelaria_ciclo|seller_vl_informatica_ciclo|seller_vl_perfumaria_ciclo|seller_vl_pet_shop_ciclo|seller_vl_portateis_ciclo|seller_vl_relogios_presentes_ciclo|seller_vl_seguros_e_servicos_ciclo|seller_vl_sinalizacao_e_seguranca_ciclo|seller_vl_telefonia_ciclo|seller_vl_utilidades_domesticas_ciclo|seller_valor_pgmt_boleto_ciclo|seller_valor_pgmt_credit_card_ciclo|seller_valor_pgmt_debit_card_ciclo|seller_valor_pgmt_not_defined_ciclo|seller_valor_pgmt_voucher_ciclo|seller_tx_ativacao_ciclo|seller_receita_vida|seller_idade_base|seller_qt_pedidos_vida|seller_qt_item_dist_vida
2018|01|01|2018-01-01|40d54b51e962dbe09cabbcfd33298dee|1003.8|3|334.6|3|3|26.27|3.04|2|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1003.8|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0.0|0|0.0|0.0|0.0|0.0|1003.8|0.0|0.0|0.0|0.033|2656.79|176.23|10|5
2018|01|01|2018-01-01|412a4720f3e9431b4afa1476a1acddbe|102.8|3|34.27|3|3|26.82|6.38|2|3|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|80.8|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0.0|0|0.0|0.0|22.0|51.8|51.0|0.0|0.0|0.0|0.033|246.7|110.8|5|4
2018|01|01|2018-01-01|4170f6a9367e6b5d6401d03ce6d54569|568.78|4|142.2|5|3|11.96|20.7|3|4|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|3|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|290.78|0.0|0.0|0|0.0|0|0.0|278.0|0.0|278.0|290.78|0.0|0.0|0.0|0.058|568.78|68.84|4|3
2018|01|01|2018-01-01|41ab63a91b8b264e8c8780368bf1dd5b|139.89|2|69.95|2|2|76.22|16.08|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|94.89|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0.0|0|0.0|45.0|0.0|94.89|45.0|0.0|0.0|0.0|0.023|139.89|85.9|2|2
2018|01|01|2018-01-01|41b39e28db005d9731d9d485a83b4c38|4065.6|37|109.88|50|30|6.44|9.11|3|23|0|0|0|0|6|1|1|0|0|0|10|1|0|1|0|0|0|0|4|0|0|0|4|3|0|19|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3401.0000000000023|0.0|0.0|0.0|0.0|0.0|242.10000000000002|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|422.5|0.0|0.0|0.0|0.0|0.0|0|0.0|0|0.0|0.0|0.0|505.7|2785.7|0.0|0.0|774.2|0.25|14217.95|346.35|153|104
2018|01|01|2018-01-01|41c2bad7229b0c25e6becf179ebf63ff|272.0|7|38.86|8|3|7.52|4.62|2|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8|0|0|0|0|0|0|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|272.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0.0|0|0.0|0.0|0.0|34.0|238.0|0.0|0.0|0.0|0.206|272.0|34.02|7|3
2018|01|01|2018-01-01|4200ddf1967c5e41e48db62bc6d4b5ac|361.0|8|45.13|20|12|2.33|7.97|3|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|0|1|0|0|0|0|14|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|321.09999999999997|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0.0|0|0.0|0.0|0.0|135.2|225.8|0.0|0.0|0.0|0.087|563.8|133.19|14|20
2018|01|01|2018-01-01|42bde9fef835393bb8a8849cb6b7f245|2585.0|14|184.64|18|7|25.64|8.91|3|13|0|0|0|0|1|0|3|0|4|0|1|0|0|0|1|0|0|0|2|0|0|0|0|1|0|5|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1262.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0.0|0|0.0|1323.0|0.0|187.0|2398.0|0.0|0.0|0.0|0.141|6499.0|178.14|29|11
2018|01|01|2018-01-01|4305fe92735c8a43d154ff6dd2b8d927|559.6|3|186.53|4|2|72.88|11.51|1|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|2|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|559.6|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0.0|0|0.0|0.0|0.0|139.9|419.7|0.0|0.0|0.0|0.033|1766.7|156.64|12|5
2018|01|01|2018-01-01|431af27f296bc6519d890aa5a05fdb11|4188.1|29|144.42|39|9|2.41|17.93|3|19|0|0|0|0|1|1|2|0|1|2|4|0|1|2|0|0|0|0|1|0|0|0|3|1|0|20|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|4188.100000000002|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0.0|0|0.0|0.0|0.0|763.4|2795.5|0.0|0.0|629.2|0.207|9512.7|249.23|86|20
